VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;A_KOLICINA;PORABA2;ID_DOK;TIP_CENE;SKLADIŠÈE;CENA;VREDNOST;PLAN_CENA
TRG;0;KOS;9910157;KASETNI FILTER 658X1064X48 G4;5;0;0;4000003;EUR;22410;1810,93;9054,65;0
TRG;20;KOS;9911305;KASETNI FILTER 622X495X30 G3;2;0;0;4000003;EUR;22410;660,54;1321,08;0
TRG;0;KOM;9000007;ZAŠÈ.BOMB.ROKAVICE;12;0;0;4000002;EUR;22400;156,89;1882,68;0
TRG;0;KOM;9900014;KOFIL FMR 3710 V;10;0;0;4000002;EUR;22400;98,45;984,5;0
TRG;0;KOM;9900054;OGNJE ODPORNI SET-RESISTO;10;0;0;4000002;EUR;22400;3938,99;39389,9;0
TRG;0;KOS;9900069;KASETNI FILTER 287X592X98 G3;3;0;0;4000002;EUR;22400;3796,73;11390,19;639
TRG;0;KOS;9900088;KOFIL ABS 305X305X150 H13 MDF;7;0;0;4000002;EUR;22400;6365,29;44557,06;5921,6
TRG;0;M2;9900796;KOFIL FILTER CARBOARD;1;0;0;4000002;EUR;22400;1499,85;1499,85;0
TRG;0;KOS;9908284;KASETNI FILTER 490X495X25 G3;2;0;0;4000002;EUR;22400;1010;2020;0
TRG;0;KOM;9900092;HLAÈE F.DRAVA BELA ŠT48;15;0;0;4000001;EUR;22600;717,61;0;0
TRG;0;KOM;9900094;PLAŠÈ DRAVA Ž.PLAVA;1;0;0;4000001;EUR;22600;636,3;636,3;0
TRG;0;KOM;9900095;PLAŠÈ DRAVA M.SIVA Š.48;7;0;0;4000001;EUR;22600;636,3;0;0
TRG;0;KOM;9900097;OBLEKA FAR.DRAVA BELA;6;0;0;4000001;EUR;22600;1012,42;0;0
TRG;0;KOM;9900109;HLAÈE K.K. DRAVA SIVA;5;0;0;4000001;EUR;22600;565,6;0;0
TRG;0;KOM;9900111;PLAŠÈ POLIEST./KIM;7;0;0;4000001;EUR;22600;902,13;0;0
TRG;0;KOM;9900112;PLAŠÈ LIJAN KIM;5;0;0;4000001;EUR;22600;1322,66;0;0
TRG;0;KOM;9900129;PLAŠÈ ESAD;8;0;0;4000001;EUR;22600;980,18;0;0
TRG;0;KOS;9900476;ZAŠÈITNA OBLAÈILA SVS;10;0;0;4000001;EUR;22600;631,27;6312,7;0
